regionSeg1,productSeg2,regionSeg2,productSeg3,yearweek,,qty_mean,ma,MA2
A01,PG01,SALESID0001,ITEM0001,201324,0,2.0,1.9588888888888885,2.0
A01,PG01,SALESID0001,ITEM0001,201325,0,2.6,1.9366666666666663,2.6
A01,PG01,SALESID0001,ITEM0001,201326,0,2.5,1.9366666666666663,2.5
A01,PG01,SALESID0001,ITEM0001,201327,0,4.2,1.9033333333333329,4.2
A01,PG01,SALESID0001,ITEM0001,201328,0,3.25,1.8699999999999997,3.25
A01,PG01,SALESID0001,ITEM0001,201329,0,1.0,2.7833333333333328,1.0
A01,PG01,SALESID0001,ITEM0001,201330,0,1.0,3.2899999999999996,1.0
A01,PG01,SALESID0001,ITEM0001,201439,0,1.0,4.1033333333333335,1.0
A01,PG01,SALESID0001,ITEM0001,201451,0,1.0,5.25,1.0
A01,PG01,SALESID0001,ITEM0001,201538,0,1.0,5.983333333333333,1.0
A01,PG01,SALESID0001,ITEM0001,201548,0,1.0,6.843333333333334,1.0
A01,PG01,SALESID0001,ITEM0001,201549,0,2.0,8.15,2.0
A01,PG01,SALESID0001,ITEM0002,201301,0,16.2,9.573333333333332,16.2
A01,PG01,SALESID0001,ITEM0002,201302,0,9.6,10.133333333333333,9.6
A01,PG01,SALESID0001,ITEM0002,201303,0,13.2,11.053333333333335,13.2
A01,PG01,SALESID0001,ITEM0002,201304,0,19.2,12.213333333333335,19.2
A01,PG01,SALESID0001,ITEM0002,201305,0,13.6,13.000000000000002,13.6
A01,PG01,SALESID0001,ITEM0002,201306,0,15.4,13.693333333333335,15.4
A01,PG01,SALESID0001,ITEM0002,201307,0,23.8,14.160000000000002,23.8
A01,PG01,SALESID0001,ITEM0002,201308,0,24.6,14.973333333333334,24.6
A01,PG01,SALESID0001,ITEM0002,201309,0,9.4,15.106666666666667,9.4
A01,PG01,SALESID0001,ITEM0002,201310,0,14.8,15.666666666666668,14.8
A01,PG01,SALESID0001,ITEM0002,201311,0,18.4,15.70666666666667,18.4
A01,PG01,SALESID0001,ITEM0002,201312,0,12.8,15.693333333333337,12.8
A01,PG01,SALESID0001,ITEM0002,201313,0,11.4,16.173333333333336,11.4
A01,PG01,SALESID0001,ITEM0002,201314,0,8.0,17.240000000000006,8.0
A01,PG01,SALESID0001,ITEM0002,201315,0,14.2,18.280000000000005,14.2
A01,PG01,SALESID0001,ITEM0002,201316,0,18.2,17.386666666666667,18.2
A01,PG01,SALESID0001,ITEM0002,201317,0,18.0,17.54666666666667,18.0
A01,PG01,SALESID0001,ITEM0002,201318,0,13.8,18.86666666666667,13.8
A01,PG01,SALESID0001,ITEM0002,201319,0,19.0,21.120000000000005,19.0
A01,PG01,SALESID0001,ITEM0002,201320,0,20.8,24.733333333333338,20.8
A01,PG01,SALESID0001,ITEM0002,201321,0,31.4,25.746666666666673,31.4
A01,PG01,SALESID0001,ITEM0002,201322,0,39.4,25.330000000000005,39.4
A01,PG01,SALESID0001,ITEM0002,201323,0,11.2,24.450000000000006,11.2
A01,PG01,SALESID0001,ITEM0002,201324,0,11.8,23.30333333333334,11.8
A01,PG01,SALESID0001,ITEM0002,201325,0,34.6,22.17000000000001,34.6
A01,PG01,SALESID0001,ITEM0002,201326,0,52.2,21.316666666666674,52.2
A01,PG01,SALESID0001,ITEM0002,201327,0,67.0,20.116666666666674,67.0
A01,PG01,SALESID0001,ITEM0002,201328,0,26.6,18.796666666666674,26.6
A01,PG01,SALESID0001,ITEM0002,201329,0,1.75,16.770000000000007,1.75
A01,PG01,SALESID0001,ITEM0002,201330,0,1.0,14.210000000000006,1.0
A01,PG01,SALESID0001,ITEM0002,201334,0,1.0,13.530000000000006,1.0
A01,PG01,SALESID0001,ITEM0002,201337,0,1.0,12.810000000000006,1.0
A01,PG01,SALESID0001,ITEM0002,201339,0,1.0,10.570000000000006,1.0
A01,PG01,SALESID0001,ITEM0002,201345,0,1.0,7.1566666666666725,1.0
A01,PG01,SALESID0001,ITEM0002,201346,0,1.0,2.756666666666673,1.0
A01,PG01,SALESID0001,ITEM0002,201347,0,1.0,1.0944444444444505,1.0
A01,PG01,SALESID0001,ITEM0002,201352,0,1.0,1.0666666666666726,1.0
A01,PG01,SALESID0001,ITEM0002,201410,0,1.0,1.1166666666666727,1.0
A01,PG01,SALESID0001,ITEM0002,201427,0,1.0,1.1833333333333393,1.0
A01,PG01,SALESID0001,ITEM0002,201435,0,1.0,1.250000000000006,1.0
A01,PG01,SALESID0001,ITEM0002,201526,0,1.0,1.3166666666666726,1.0
A01,PG01,SALESID0001,ITEM0002,201532,0,1.0,1.4166666666666725,1.0
A01,PG01,SALESID0001,ITEM0003,201301,0,1.6666666666666667,1.5333333333333392,1.6666666666666667
A01,PG01,SALESID0001,ITEM0003,201302,0,1.3333333333333333,1.5333333333333392,1.3333333333333333
A01,PG01,SALESID0001,ITEM0003,201303,0,1.75,1.6000000000000059,1.75
A01,PG01,SALESID0001,ITEM0003,201304,0,2.0,1.6000000000000059,2.0
A01,PG01,SALESID0001,ITEM0003,201305,0,2.0,1.6333333333333393,2.0
A01,PG01,SALESID0001,ITEM0003,201306,0,2.0,1.6333333333333393,2.0
A01,PG01,SALESID0001,ITEM0003,201307,0,2.5,1.6333333333333393,2.5
A01,PG01,SALESID0001,ITEM0003,201308,0,2.75,1.6333333333333393,2.75
A01,PG01,SALESID0001,ITEM0003,201309,0,1.0,1.6777777777777836,1.0
A01,PG01,SALESID0001,ITEM0003,201310,0,2.0,1.6555555555555614,2.0
A01,PG01,SALESID0001,ITEM0003,201311,0,1.0,1.7055555555555615,1.0
A01,PG01,SALESID0001,ITEM0003,201312,0,1.5,1.661111111111117,1.5
A01,PG01,SALESID0001,ITEM0003,201313,0,1.0,1.7277777777777836,1.0
A01,PG01,SALESID0001,ITEM0003,201314,0,1.0,1.7444444444444502,1.0
A01,PG01,SALESID0001,ITEM0003,201315,0,1.0,1.7111111111111168,1.0
A01,PG01,SALESID0001,ITEM0003,201316,0,2.3333333333333335,1.59444444444445,2.3333333333333335
A01,PG01,SALESID0001,ITEM0003,201317,0,1.0,1.6166666666666722,1.0
A01,PG01,SALESID0001,ITEM0003,201318,0,2.5,1.6666666666666723,2.5
A01,PG01,SALESID0001,ITEM0003,201319,0,1.3333333333333333,1.8500000000000056,1.3333333333333333
A01,PG01,SALESID0001,ITEM0003,201320,0,3.0,2.2566666666666726,3.0
A01,PG01,SALESID0001,ITEM0003,201321,0,2.25,2.3733333333333393,2.25
A01,PG01,SALESID0001,ITEM0003,201322,0,2.0,2.3733333333333393,2.0
A01,PG01,SALESID0001,ITEM0003,201323,0,1.0,2.3733333333333393,1.0
A01,PG01,SALESID0001,ITEM0003,201324,0,1.3333333333333333,2.2844444444444503,1.3333333333333333
A01,PG01,SALESID0001,ITEM0003,201325,0,2.75,2.2844444444444503,2.75
A01,PG01,SALESID0001,ITEM0003,201326,0,3.75,2.22444444444445,3.75
A01,PG01,SALESID0001,ITEM0003,201327,0,7.6,2.22444444444445,7.6
A01,PG01,SALESID0001,ITEM0003,201328,0,2.75,2.1577777777777833,2.75
A01,PG01,SALESID0001,ITEM0003,201329,0,1.0,2.17444444444445,1.0
A01,PG01,SALESID0001,ITEM0003,201330,0,1.0,2.1966666666666725,1.0
A01,PG01,SALESID0001,ITEM0003,201413,0,1.0,2.2300000000000058,1.0
A01,PG01,SALESID0001,ITEM0003,201426,0,1.0,2.27444444444445,1.0
A01,PG01,SALESID0001,ITEM0004,201301,0,1.6,2.18444444444445,1.6
A01,PG01,SALESID0001,ITEM0004,201302,0,1.3333333333333333,2.023333333333339,1.3333333333333333
A01,PG01,SALESID0001,ITEM0004,201303,0,2.0,1.8633333333333393,2.0
A01,PG01,SALESID0001,ITEM0004,201304,0,2.5,1.9066666666666725,2.5
A01,PG01,SALESID0001,ITEM0004,201305,0,2.3333333333333335,1.9866666666666724,2.3333333333333335
A01,PG01,SALESID0001,ITEM0004,201306,0,1.5,2.031111111111117,1.5
A01,PG01,SALESID0001,ITEM0004,201307,0,2.0,2.2755555555555613,2.0
A01,PG01,SALESID0001,ITEM0004,201308,0,1.4,2.3644444444444503,1.4
A01,PG01,SALESID0001,ITEM0004,201309,0,1.3333333333333333,2.3577777777777835,1.3333333333333333
A01,PG01,SALESID0001,ITEM0004,201310,0,5.2,2.535555555555561,5.2
A01,PG01,SALESID0001,ITEM0004,201311,0,3.4,2.8911111111111167,3.4
A01,PG01,SALESID0001,ITEM0004,201312,0,2.2,2.7911111111111166,2.2
A01,PG01,SALESID0001,ITEM0004,201313,0,1.6666666666666667,2.72444444444445,1.6666666666666667
A01,PG01,SALESID0001,ITEM0004,201314,0,4.666666666666667,2.9577777777777836,4.666666666666667
A01,PG01,SALESID0001,ITEM0004,201315,0,2.3333333333333335,2.94444444444445,2.3333333333333335
A01,PG01,SALESID0001,ITEM0004,201316,0,1.5,2.98444444444445,1.5
A01,PG01,SALESID0001,ITEM0004,201317,0,4.0,2.995555555555561,4.0
A01,PG01,SALESID0001,ITEM0004,201318,0,7.333333333333333,2.9422222222222274,7.333333333333333
A01,PG01,SALESID0001,ITEM0004,201319,0,1.0,2.948888888888894,1.0
A01,PG01,SALESID0001,ITEM0004,201320,0,1.3333333333333333,3.108888888888894,1.3333333333333333
A01,PG01,SALESID0001,ITEM0004,201321,0,5.0,3.197777777777783,5.0
A01,PG01,SALESID0001,ITEM0004,201322,0,1.8,3.0700000000000056,1.8
A01,PG01,SALESID0001,ITEM0004,201323,0,2.0,3.01444444444445,2.0
A01,PG01,SALESID0001,ITEM0004,201324,0,1.5,3.0033333333333387,1.5
A01,PG01,SALESID0001,ITEM0004,201325,0,4.4,2.825555555555561,4.4
A01,PG01,SALESID0001,ITEM0004,201326,0,3.5,2.9033333333333387,3.5
A01,PG01,SALESID0001,ITEM0004,201327,0,4.6,2.9033333333333387,4.6
A01,PG01,SALESID0001,ITEM0004,201328,0,3.0,2.9144444444444497,3.0
A01,PG01,SALESID0001,ITEM0004,201329,0,2.75,2.647777777777783,2.75
A01,PG01,SALESID0001,ITEM0004,201330,0,1.5,5.7944444444444505,1.5
A01,PG01,SALESID0001,ITEM0004,201331,0,1.3333333333333333,5.7944444444444505,1.3333333333333333
A01,PG01,SALESID0001,ITEM0004,201332,0,1.3333333333333333,6.2944444444444505,1.3333333333333333
A01,PG01,SALESID0001,ITEM0004,201333,0,8.5,6.13444444444445,8.5
A01,PG01,SALESID0001,ITEM0004,201334,0,1.0,6.03444444444445,1.0
A01,PG01,SALESID0001,ITEM0004,201335,0,1.5,5.927777777777783,1.5
A01,PG01,SALESID0001,ITEM0004,201337,0,1.0,5.7944444444444505,1.0
A01,PG01,SALESID0001,ITEM0004,201338,0,49.0,5.811111111111117,49.0
A01,PG01,SALESID0001,ITEM0004,201339,0,2.0,6.777777777777784,2.0
A01,PG01,SALESID0001,ITEM0004,201340,0,9.0,6.755555555555562,9.0
A01,PG01,SALESID0001,ITEM0004,201343,0,2.0,6.73333333333334,2.0
A01,PG01,SALESID0001,ITEM0004,201345,0,2.0,6.23333333333334,2.0
A01,PG01,SALESID0001,ITEM0004,201349,0,3.0,7.166666666666673,3.0
A01,PG01,SALESID0001,ITEM0004,201414,0,1.0,7.680000000000007,1.0
A01,PG01,SALESID0001,ITEM0004,201429,0,3.0,8.706666666666674,3.0
A01,PG01,SALESID0001,ITEM0004,201447,0,16.0,6.866666666666674,16.0
A01,PG01,SALESID0001,ITEM0004,201553,0,1.0,7.65333333333334,1.0
A01,PG01,SALESID0001,ITEM0004,201603,0,1.0,7.506666666666674,1.0
A01,PG01,SALESID0001,ITEM0004,201605,0,1.0,8.506666666666673,1.0
A01,PG01,SALESID0001,ITEM0005,201301,0,15.0,9.240000000000007,15.0
A01,PG01,SALESID0001,ITEM0005,201302,0,9.2,9.69333333333334,9.2
A01,PG01,SALESID0001,ITEM0005,201303,0,16.4,10.720000000000008,16.4
A01,PG01,SALESID0001,ITEM0005,201304,0,21.4,11.466666666666674,21.4
A01,PG01,SALESID0001,ITEM0005,201305,0,13.8,11.546666666666674,13.8
A01,PG01,SALESID0001,ITEM0005,201306,0,6.8,12.173333333333341,6.8
A01,PG01,SALESID0001,ITEM0005,201307,0,17.0,13.01333333333334,17.0
A01,PG01,SALESID0001,ITEM0005,201308,0,13.0,14.29333333333334,13.0
A01,PG01,SALESID0001,ITEM0005,201309,0,9.8,14.826666666666673,9.8
A01,PG01,SALESID0001,ITEM0005,201310,0,16.4,15.386666666666674,16.4
A01,PG01,SALESID0001,ITEM0005,201311,0,14.2,14.99333333333334,14.2
A01,PG01,SALESID0001,ITEM0005,201312,0,17.2,14.126666666666672,17.2
A01,PG01,SALESID0001,ITEM0005,201313,0,10.4,14.193333333333339,10.4
A01,PG01,SALESID0001,ITEM0005,201314,0,13.6,14.953333333333338,13.6
A01,PG01,SALESID0001,ITEM0005,201315,0,20.2,15.52666666666667,20.2
A01,PG01,SALESID0001,ITEM0005,201316,0,23.0,15.220000000000004,23.0
A01,PG01,SALESID0001,ITEM0005,201317,0,17.6,15.020000000000005,17.6
A01,PG01,SALESID0001,ITEM0005,201318,0,10.5,15.473333333333336,10.5
A01,PG01,SALESID0001,ITEM0005,201319,0,8.4,17.326666666666668,8.4
A01,PG01,SALESID0001,ITEM0005,201320,0,14.8,21.793333333333337,14.8
A01,PG01,SALESID0001,ITEM0005,201321,0,18.2,26.76666666666667,18.2
A01,PG01,SALESID0001,ITEM0005,201322,0,25.6,26.900000000000002,25.6
A01,PG01,SALESID0001,ITEM0005,201323,0,8.4,25.966666666666672,8.4
A01,PG01,SALESID0001,ITEM0005,201324,0,6.8,25.286666666666672,6.8
A01,PG01,SALESID0001,ITEM0005,201325,0,23.2,24.94,23.2
A01,PG01,SALESID0001,ITEM0005,201326,0,42.0,25.053333333333335,42.0
A01,PG01,SALESID0001,ITEM0005,201327,0,84.2,24.800000000000004,84.2
A01,PG01,SALESID0001,ITEM0005,201328,0,85.0,23.902222222222225,85.0
A01,PG01,SALESID0001,ITEM0005,201329,0,15.6,22.844444444444445,15.6
A01,PG01,SALESID0001,ITEM0005,201330,0,6.2,21.32111111111111,6.2
A01,PG01,SALESID0001,ITEM0005,201331,0,12.8,20.92777777777778,12.8
A01,PG01,SALESID0001,ITEM0005,201332,0,12.4,20.54111111111111,12.4
A01,PG01,SALESID0001,ITEM0005,201333,0,12.2,19.061111111111114,12.2
A01,PG01,SALESID0001,ITEM0005,201334,0,4.6,16.32777777777778,4.6
A01,PG01,SALESID0001,ITEM0005,201335,0,1.3333333333333333,10.781111111111112,1.3333333333333333
A01,PG01,SALESID0001,ITEM0005,201336,0,2.3333333333333335,5.181111111111113,2.3333333333333335
A01,PG01,SALESID0001,ITEM0005,201337,0,2.75,4.2744444444444465,2.75
A01,PG01,SALESID0001,ITEM0005,201338,0,2.5,3.92777777777778,2.5
A01,PG01,SALESID0001,ITEM0005,201340,0,1.0,3.1911111111111135,1.0
A01,PG01,SALESID0001,ITEM0005,201341,0,1.0,2.524444444444447,1.0
A01,PG01,SALESID0001,ITEM0005,201345,0,1.0,1.9111111111111136,1.0
A01,PG01,SALESID0001,ITEM0005,201402,0,1.0,1.7377777777777803,1.0
A01,PG01,SALESID0001,ITEM0005,201416,0,1.0,1.804444444444447,1.0
A01,PG01,SALESID0001,ITEM0006,201301,0,2.0,1.804444444444447,2.0
A01,PG01,SALESID0001,ITEM0006,201302,0,1.0,1.7377777777777803,1.0
A01,PG01,SALESID0001,ITEM0006,201303,0,1.75,1.654444444444447,1.75
A01,PG01,SALESID0001,ITEM0006,201304,0,2.4,1.7211111111111137,2.4
A01,PG01,SALESID0001,ITEM0006,201305,0,3.0,1.854444444444447,3.0
A01,PG01,SALESID0001,ITEM0006,201306,0,2.0,1.9211111111111137,2.0
A01,PG01,SALESID0001,ITEM0006,201307,0,2.3333333333333335,2.0211111111111135,2.3333333333333335
A01,PG01,SALESID0001,ITEM0006,201308,0,2.3333333333333335,2.0377777777777806,2.3333333333333335
A01,PG01,SALESID0001,ITEM0006,201309,0,1.75,2.0211111111111135,1.75
A01,PG01,SALESID0001,ITEM0006,201310,0,1.25,2.0877777777777804,1.25
A01,PG01,SALESID0001,ITEM0006,201311,0,2.0,2.0600000000000027,2.0
A01,PG01,SALESID0001,ITEM0006,201312,0,3.0,1.9666666666666694,3.0
A01,PG01,SALESID0001,ITEM0006,201313,0,2.0,1.8600000000000028,2.0
A01,PG01,SALESID0001,ITEM0006,201314,0,2.5,1.9488888888888916,2.5
A01,PG01,SALESID0001,ITEM0006,201315,0,1.25,1.8600000000000028,1.25
A01,PG01,SALESID0001,ITEM0006,201316,0,1.75,1.771111111111114,1.75
A01,PG01,SALESID0001,ITEM0006,201317,0,2.0,1.8377777777777806,2.0
A01,PG01,SALESID0001,ITEM0006,201318,0,1.3333333333333333,1.9377777777777807,1.3333333333333333
A01,PG01,SALESID0001,ITEM0006,201320,0,1.0,2.191111111111114,1.0
A01,PG01,SALESID0001,ITEM0006,201321,0,1.4,2.2077777777777805,1.4
A01,PG01,SALESID0001,ITEM0006,201322,0,3.3333333333333335,2.1744444444444473,3.3333333333333335
A01,PG01,SALESID0001,ITEM0006,201323,0,1.0,2.074444444444447,1.0
A01,PG01,SALESID0001,ITEM0006,201324,0,1.0,2.080000000000003,1.0
A01,PG01,SALESID0001,ITEM0006,201325,0,2.75,2.030000000000003,2.75
A01,PG01,SALESID0001,ITEM0006,201326,0,2.75,2.0077777777777808,2.75
A01,PG01,SALESID0001,ITEM0006,201327,0,5.8,1.9855555555555584,5.8
A01,PG01,SALESID0001,ITEM0006,201328,0,3.25,2.1188888888888915,3.25
A01,PG01,SALESID0001,ITEM0006,201329,0,1.5,2.172222222222225,1.5
A01,PG01,SALESID0001,ITEM0006,201330,0,1.0,2.203333333333336,1.0
A01,PG01,SALESID0001,ITEM0006,201332,0,1.3333333333333333,2.3100000000000027,1.3333333333333333
A01,PG01,SALESID0001,ITEM0006,201333,0,1.0,2.3600000000000025,1.0
A01,PG01,SALESID0001,ITEM0006,201334,0,1.6666666666666667,2.4300000000000024,1.6666666666666667
A01,PG01,SALESID0001,ITEM0106,201301,0,1.0,2.513333333333336,1.0
A01,PG01,SALESID0001,ITEM0106,201302,0,3.0,2.4333333333333362,3.0
A01,PG01,SALESID0001,ITEM0106,201303,0,2.2,2.603333333333336,2.2
A01,PG01,SALESID0001,ITEM0106,201304,0,3.8,2.703333333333336,3.8
A01,PG01,SALESID0001,ITEM0106,201305,0,2.6,2.7433333333333363,2.6
A01,PG01,SALESID0001,ITEM0106,201306,0,1.75,2.774444444444447,1.75
A01,PG01,SALESID0001,ITEM0106,201307,0,3.8,2.9411111111111135,3.8
A01,PG01,SALESID0001,ITEM0106,201308,0,4.0,3.256666666666669,4.0
A01,PG01,SALESID0001,ITEM0106,201309,0,4.6,3.896666666666669,4.6
A01,PG01,SALESID0001,ITEM0106,201310,0,5.8,4.430000000000003,5.8
A01,PG01,SALESID0001,ITEM0106,201311,0,3.0,4.53666666666667,3.0
A01,PG01,SALESID0001,ITEM0106,201312,0,1.6,4.470000000000002,1.6
A01,PG01,SALESID0001,ITEM0106,201313,0,1.8,5.05666666666667,1.8
A01,PG01,SALESID0001,ITEM0106,201314,0,3.5,6.233333333333337,3.5
A01,PG01,SALESID0001,ITEM0106,201315,0,6.4,7.300000000000003,6.4
A01,PG01,SALESID0001,ITEM0106,201316,0,10.6,7.286666666666671,10.6
A01,PG01,SALESID0001,ITEM0106,201317,0,11.0,7.513333333333337,11.0
A01,PG01,SALESID0001,ITEM0106,201318,0,3.8,9.20666666666667,3.8
A01,PG01,SALESID0001,ITEM0106,201319,0,2.8,12.260000000000002,2.8
A01,PG01,SALESID0001,ITEM0106,201320,0,11.4,16.40666666666667,11.4
A01,PG01,SALESID0001,ITEM0106,201321,0,19.4,18.16666666666667,19.4
A01,PG01,SALESID0001,ITEM0106,201322,0,19.8,18.240000000000006,19.8
A01,PG01,SALESID0001,ITEM0106,201323,0,3.8,18.026666666666674,3.8
A01,PG01,SALESID0001,ITEM0106,201324,0,8.0,17.97333333333334,8.0
A01,PG01,SALESID0001,ITEM0106,201325,0,31.2,18.240000000000006,31.2
A01,PG01,SALESID0001,ITEM0106,201326,0,48.8,18.906666666666673,48.8
A01,PG01,SALESID0001,ITEM0106,201327,0,63.8,19.34666666666667,63.8
A01,PG01,SALESID0001,ITEM0106,201328,0,28.2,19.17333333333334,28.2
A01,PG01,SALESID0001,ITEM0106,201329,0,4.6,18.306666666666672,4.6
A01,PG01,SALESID0001,ITEM0106,201330,0,3.2,17.200000000000003,3.2
A01,PG01,SALESID0001,ITEM0106,201331,0,9.8,17.213333333333335,9.8
A01,PG01,SALESID0001,ITEM0106,201332,0,15.0,16.94666666666667,15.0
A01,PG01,SALESID0001,ITEM0106,201333,0,13.8,15.200000000000005,13.8
A01,PG01,SALESID0001,ITEM0106,201334,0,9.4,12.293333333333335,9.4
A01,PG01,SALESID0001,ITEM0106,201335,0,8.8,8.533333333333337,8.8
A01,PG01,SALESID0001,ITEM0106,201336,0,6.4,6.853333333333337,6.4
A01,PG01,SALESID0001,ITEM0106,201337,0,3.2,6.773333333333338,3.2
A01,PG01,SALESID0001,ITEM0106,201338,0,4.0,6.760000000000004,4.0
A01,PG01,SALESID0001,ITEM0106,201339,0,4.0,6.306666666666671,4.0
A01,PG01,SALESID0001,ITEM0106,201340,0,5.0,5.506666666666671,5.0
A01,PG01,SALESID0001,ITEM0106,201341,0,5.2,7.666666666666671,5.2
A01,PG01,SALESID0001,ITEM0106,201342,0,7.4,8.30666666666667,7.4
A01,PG01,SALESID0001,ITEM0106,201343,0,3.0,7.808888888888892,3.0
A01,PG01,SALESID0001,ITEM0106,201344,0,3.4,7.515555555555559,3.4
A01,PG01,SALESID0001,ITEM0106,201345,0,3.0,7.468888888888892,3.0
A01,PG01,SALESID0001,ITEM0106,201346,0,3.0,7.442222222222225,3.0
A01,PG01,SALESID0001,ITEM0106,201347,0,3.0,7.575555555555558,3.0
A01,PG01,SALESID0001,ITEM0106,201348,0,46.2,7.692222222222225,46.2
A01,PG01,SALESID0001,ITEM0106,201349,0,19.0,7.785555555555558,19.0
A01,PG01,SALESID0001,ITEM0106,201350,0,1.3333333333333333,7.47888888888889,1.3333333333333333
A01,PG01,SALESID0001,ITEM0106,201351,0,2.0,7.412222222222224,2.0
A01,PG01,SALESID0001,ITEM0106,201352,0,2.5,7.31888888888889,2.5
A01,PG01,SALESID0001,ITEM0106,201401,0,3.6,7.345555555555557,3.6
A01,PG01,SALESID0001,ITEM0106,201402,0,6.0,7.39888888888889,6.0
A01,PG01,SALESID0001,ITEM0106,201403,0,6.75,7.35888888888889,6.75
A01,PG01,SALESID0001,ITEM0106,201404,0,6.6,4.412222222222224,6.6
A01,PG01,SALESID0001,ITEM0106,201405,0,2.8,3.452222222222223,2.8
A01,PG01,SALESID0001,ITEM0106,201406,0,2.0,3.8166666666666673,2.0
A01,PG01,SALESID0001,ITEM0106,201407,0,2.0,4.216666666666667,2.0
A01,PG01,SALESID0001,ITEM0106,201408,0,3.4,4.45,3.4
A01,PG01,SALESID0001,ITEM0106,201409,0,3.8,4.510000000000001,3.8
A01,PG01,SALESID0001,ITEM0106,201410,0,2.4,4.363333333333333,2.4
A01,PG01,SALESID0001,ITEM0106,201411,0,2.0,4.096666666666667,2.0
A01,PG01,SALESID0001,ITEM0106,201412,0,4.6,3.74,4.6
A01,PG01,SALESID0001,ITEM0106,201413,0,6.8,3.6533333333333338,6.8
A01,PG01,SALESID0001,ITEM0106,201414,0,8.0,3.64,8.0
A01,PG01,SALESID0001,ITEM0106,201415,0,6.0,3.595555555555556,6.0
A01,PG01,SALESID0001,ITEM0106,201416,0,4.5,3.5522222222222224,4.5
A01,PG01,SALESID0001,ITEM0106,201417,0,3.8,3.565555555555556,3.8
A01,PG01,SALESID0001,ITEM0106,201418,0,2.75,3.522222222222223,2.75
A01,PG01,SALESID0001,ITEM0106,201419,0,1.25,3.4722222222222228,1.25
A01,PG01,SALESID0001,ITEM0106,201420,0,1.5,3.254444444444445,1.5
A01,PG01,SALESID0001,ITEM0106,201421,0,1.8,2.9233333333333342,1.8
A01,PG01,SALESID0001,ITEM0106,201422,0,1.3333333333333333,2.7233333333333345,1.3333333333333333
A01,PG01,SALESID0001,ITEM0106,201423,0,2.75,2.5566666666666675,2.75
A01,PG01,SALESID0001,ITEM0106,201424,0,4.0,2.5344444444444454,4.0
A01,PG01,SALESID0001,ITEM0106,201425,0,1.75,2.481111111111112,1.75
A01,PG01,SALESID0001,ITEM0106,201426,0,1.25,2.4977777777777788,1.25
A01,PG01,SALESID0001,ITEM0106,201427,0,1.3333333333333333,2.601111111111112,1.3333333333333333
A01,PG01,SALESID0001,ITEM0106,201428,0,1.8333333333333333,2.6788888888888898,1.8333333333333333
A01,PG01,SALESID0001,ITEM0106,201429,0,5.0,2.932222222222223,5.0
A01,PG01,SALESID0001,ITEM0106,201430,0,3.5,3.0700000000000007,3.5
A01,PG01,SALESID0001,ITEM0106,201431,0,4.166666666666667,3.10888888888889,4.166666666666667
A01,PG01,SALESID0001,ITEM0106,201432,0,3.0,3.00888888888889,3.0
A01,PG01,SALESID0001,ITEM0106,201433,0,3.0,3.0788888888888897,3.0
A01,PG01,SALESID0001,ITEM0106,201434,0,2.8,3.3288888888888897,2.8
A01,PG01,SALESID0001,ITEM0106,201435,0,2.6666666666666665,3.617777777777778,2.6666666666666665
A01,PG01,SALESID0001,ITEM0106,201436,0,5.6,3.7066666666666666,5.6
A01,PG01,SALESID0001,ITEM0106,201437,0,3.4,3.651111111111111,3.4
A01,PG01,SALESID0001,ITEM0106,201438,0,3.3333333333333335,3.601111111111111,3.3333333333333335
A01,PG01,SALESID0001,ITEM0106,201439,0,2.5,3.4566666666666666,2.5
