regionSeg1,productSeg2,regionSeg2,productSeg3,yearweek,qty_mean,ma
A01,PG01,SALESID0001,ITEM0002,201321,31.4,25.746666666666673
A01,PG01,SALESID0001,ITEM0002,201322,39.4,25.330000000000005
A01,PG01,SALESID0001,ITEM0002,201323,11.2,24.450000000000006
A01,PG01,SALESID0001,ITEM0002,201324,11.8,23.30333333333334
A01,PG01,SALESID0001,ITEM0002,201325,34.6,22.17000000000001
A01,PG01,SALESID0001,ITEM0002,201326,52.2,21.316666666666674
A01,PG01,SALESID0001,ITEM0002,201327,67.0,20.116666666666674
A01,PG01,SALESID0001,ITEM0002,201328,26.6,18.796666666666674
A01,PG01,SALESID0001,ITEM0002,201329,1.75,16.770000000000007
A01,PG01,SALESID0001,ITEM0002,201330,1.0,14.210000000000006
A01,PG01,SALESID0001,ITEM0002,201334,1.0,13.530000000000006
A01,PG01,SALESID0001,ITEM0002,201337,1.0,12.810000000000006
A01,PG01,SALESID0001,ITEM0002,201339,1.0,10.570000000000006
A01,PG01,SALESID0001,ITEM0002,201345,1.0,7.1566666666666725
A01,PG01,SALESID0001,ITEM0002,201346,1.0,2.756666666666673
A01,PG01,SALESID0001,ITEM0002,201347,1.0,1.0944444444444505
A01,PG01,SALESID0001,ITEM0002,201352,1.0,1.0666666666666726
A01,PG01,SALESID0001,ITEM0002,201410,1.0,1.1166666666666727
A01,PG01,SALESID0001,ITEM0002,201427,1.0,1.1833333333333393
A01,PG01,SALESID0001,ITEM0002,201435,1.0,1.250000000000006
A01,PG01,SALESID0001,ITEM0002,201526,1.0,1.3166666666666726
A01,PG01,SALESID0001,ITEM0002,201532,1.0,1.4166666666666725
A01,PG01,SALESID0001,ITEM0003,201301,1.6666666666666667,1.5333333333333392
A01,PG01,SALESID0001,ITEM0003,201302,1.3333333333333333,1.5333333333333392
A01,PG01,SALESID0001,ITEM0003,201303,1.75,1.6000000000000059
A01,PG01,SALESID0001,ITEM0003,201304,2.0,1.6000000000000059
A01,PG01,SALESID0001,ITEM0003,201305,2.0,1.6333333333333393
A01,PG01,SALESID0001,ITEM0003,201306,2.0,1.6333333333333393
A01,PG01,SALESID0001,ITEM0003,201307,2.5,1.6333333333333393
A01,PG01,SALESID0001,ITEM0003,201308,2.75,1.6333333333333393
A01,PG01,SALESID0001,ITEM0003,201309,1.0,1.6777777777777836
A01,PG01,SALESID0001,ITEM0003,201310,2.0,1.6555555555555614
A01,PG01,SALESID0001,ITEM0003,201311,1.0,1.7055555555555615
A01,PG01,SALESID0001,ITEM0003,201312,1.5,1.661111111111117
A01,PG01,SALESID0001,ITEM0003,201313,1.0,1.7277777777777836
A01,PG01,SALESID0001,ITEM0003,201314,1.0,1.7444444444444502
A01,PG01,SALESID0001,ITEM0003,201315,1.0,1.7111111111111168
A01,PG01,SALESID0001,ITEM0003,201316,2.3333333333333335,1.59444444444445
A01,PG01,SALESID0001,ITEM0003,201317,1.0,1.6166666666666722
A01,PG01,SALESID0001,ITEM0003,201318,2.5,1.6666666666666723
A01,PG01,SALESID0001,ITEM0003,201319,1.3333333333333333,1.8500000000000056
A01,PG01,SALESID0001,ITEM0003,201320,3.0,2.2566666666666726
A01,PG01,SALESID0001,ITEM0003,201321,2.25,2.3733333333333393
A01,PG01,SALESID0001,ITEM0003,201322,2.0,2.3733333333333393
A01,PG01,SALESID0001,ITEM0003,201323,1.0,2.3733333333333393
A01,PG01,SALESID0001,ITEM0003,201324,1.3333333333333333,2.2844444444444503
A01,PG01,SALESID0001,ITEM0003,201325,2.75,2.2844444444444503
A01,PG01,SALESID0001,ITEM0003,201326,3.75,2.22444444444445
A01,PG01,SALESID0001,ITEM0003,201327,7.6,2.22444444444445
A01,PG01,SALESID0001,ITEM0003,201328,2.75,2.1577777777777833
A01,PG01,SALESID0001,ITEM0003,201329,1.0,2.17444444444445
A01,PG01,SALESID0001,ITEM0003,201330,1.0,2.1966666666666725
A01,PG01,SALESID0001,ITEM0003,201413,1.0,2.2300000000000058
A01,PG01,SALESID0001,ITEM0003,201426,1.0,2.27444444444445
A01,PG01,SALESID0001,ITEM0004,201301,1.6,2.18444444444445
A01,PG01,SALESID0001,ITEM0004,201302,1.3333333333333333,2.023333333333339
A01,PG01,SALESID0001,ITEM0004,201303,2.0,1.8633333333333393
A01,PG01,SALESID0001,ITEM0004,201304,2.5,1.9066666666666725
A01,PG01,SALESID0001,ITEM0004,201305,2.3333333333333335,1.9866666666666724
A01,PG01,SALESID0001,ITEM0004,201306,1.5,2.031111111111117
A01,PG01,SALESID0001,ITEM0004,201307,2.0,2.2755555555555613
A01,PG01,SALESID0001,ITEM0004,201308,1.4,2.3644444444444503
A01,PG01,SALESID0001,ITEM0004,201309,1.3333333333333333,2.3577777777777835
A01,PG01,SALESID0001,ITEM0004,201310,5.2,2.535555555555561
A01,PG01,SALESID0001,ITEM0004,201311,3.4,2.8911111111111167
A01,PG01,SALESID0001,ITEM0004,201312,2.2,2.7911111111111166
A01,PG01,SALESID0001,ITEM0004,201313,1.6666666666666667,2.72444444444445
A01,PG01,SALESID0001,ITEM0004,201314,4.666666666666667,2.9577777777777836
A01,PG01,SALESID0001,ITEM0004,201315,2.3333333333333335,2.94444444444445
A01,PG01,SALESID0001,ITEM0004,201316,1.5,2.98444444444445
A01,PG01,SALESID0001,ITEM0004,201317,4.0,2.995555555555561
A01,PG01,SALESID0001,ITEM0004,201318,7.333333333333333,2.9422222222222274
A01,PG01,SALESID0001,ITEM0004,201319,1.0,2.948888888888894
A01,PG01,SALESID0001,ITEM0004,201320,1.3333333333333333,3.108888888888894
A01,PG01,SALESID0001,ITEM0004,201321,5.0,3.197777777777783
A01,PG01,SALESID0001,ITEM0004,201322,1.8,3.0700000000000056
A01,PG01,SALESID0001,ITEM0004,201323,2.0,3.01444444444445
A01,PG01,SALESID0001,ITEM0004,201324,1.5,3.0033333333333387
A01,PG01,SALESID0001,ITEM0004,201325,4.4,2.825555555555561
A01,PG01,SALESID0001,ITEM0004,201326,3.5,2.9033333333333387
A01,PG01,SALESID0001,ITEM0004,201327,4.6,2.9033333333333387
A01,PG01,SALESID0001,ITEM0004,201328,3.0,2.9144444444444497
A01,PG01,SALESID0001,ITEM0004,201329,2.75,2.647777777777783
A01,PG01,SALESID0001,ITEM0004,201330,1.5,5.7944444444444505
A01,PG01,SALESID0001,ITEM0004,201331,1.3333333333333333,5.7944444444444505
A01,PG01,SALESID0001,ITEM0004,201332,1.3333333333333333,6.2944444444444505
A01,PG01,SALESID0001,ITEM0004,201333,8.5,6.13444444444445
A01,PG01,SALESID0001,ITEM0004,201334,1.0,6.03444444444445
A01,PG01,SALESID0001,ITEM0004,201335,1.5,5.927777777777783
A01,PG01,SALESID0001,ITEM0004,201337,1.0,5.7944444444444505
A01,PG01,SALESID0001,ITEM0004,201338,49.0,5.811111111111117
A01,PG01,SALESID0001,ITEM0004,201339,2.0,6.777777777777784
A01,PG01,SALESID0001,ITEM0004,201340,9.0,6.755555555555562
A01,PG01,SALESID0001,ITEM0004,201343,2.0,6.73333333333334
A01,PG01,SALESID0001,ITEM0004,201345,2.0,6.23333333333334
A01,PG01,SALESID0001,ITEM0004,201349,3.0,7.166666666666673
A01,PG01,SALESID0001,ITEM0004,201414,1.0,7.680000000000007
A01,PG01,SALESID0001,ITEM0004,201429,3.0,8.706666666666674
A01,PG01,SALESID0001,ITEM0004,201447,16.0,6.866666666666674
A01,PG01,SALESID0001,ITEM0004,201553,1.0,7.65333333333334
A01,PG01,SALESID0001,ITEM0004,201603,1.0,7.506666666666674
A01,PG01,SALESID0001,ITEM0004,201605,1.0,8.506666666666673
A01,PG01,SALESID0001,ITEM0005,201301,15.0,9.240000000000007
A01,PG01,SALESID0001,ITEM0005,201302,9.2,9.69333333333334
A01,PG01,SALESID0001,ITEM0005,201303,16.4,10.720000000000008
A01,PG01,SALESID0001,ITEM0005,201304,21.4,11.466666666666674
A01,PG01,SALESID0001,ITEM0005,201305,13.8,11.546666666666674
A01,PG01,SALESID0001,ITEM0005,201306,6.8,12.173333333333341
A01,PG01,SALESID0001,ITEM0005,201307,17.0,13.01333333333334
A01,PG01,SALESID0001,ITEM0005,201308,13.0,14.29333333333334
A01,PG01,SALESID0001,ITEM0005,201309,9.8,14.826666666666673
A01,PG01,SALESID0001,ITEM0005,201310,16.4,15.386666666666674
A01,PG01,SALESID0001,ITEM0005,201311,14.2,14.99333333333334
A01,PG01,SALESID0001,ITEM0005,201312,17.2,14.126666666666672
A01,PG01,SALESID0001,ITEM0005,201313,10.4,14.193333333333339
A01,PG01,SALESID0001,ITEM0005,201314,13.6,14.953333333333338
A01,PG01,SALESID0001,ITEM0005,201315,20.2,15.52666666666667
A01,PG01,SALESID0001,ITEM0005,201316,23.0,15.220000000000004
A01,PG01,SALESID0001,ITEM0005,201317,17.6,15.020000000000005
A01,PG01,SALESID0001,ITEM0005,201318,10.5,15.473333333333336
A01,PG01,SALESID0001,ITEM0005,201319,8.4,17.326666666666668
A01,PG01,SALESID0001,ITEM0005,201320,14.8,21.793333333333337
A01,PG01,SALESID0001,ITEM0005,201321,18.2,26.76666666666667
A01,PG01,SALESID0001,ITEM0005,201322,25.6,26.900000000000002
A01,PG01,SALESID0001,ITEM0005,201323,8.4,25.966666666666672
A01,PG01,SALESID0001,ITEM0005,201324,6.8,25.286666666666672
A01,PG01,SALESID0001,ITEM0005,201325,23.2,24.94
A01,PG01,SALESID0001,ITEM0005,201326,42.0,25.053333333333335
A01,PG01,SALESID0001,ITEM0005,201327,84.2,24.800000000000004
A01,PG01,SALESID0001,ITEM0005,201328,85.0,23.902222222222225
A01,PG01,SALESID0001,ITEM0005,201329,15.6,22.844444444444445
A01,PG01,SALESID0001,ITEM0005,201330,6.2,21.32111111111111
A01,PG01,SALESID0001,ITEM0005,201331,12.8,20.92777777777778
A01,PG01,SALESID0001,ITEM0005,201332,12.4,20.54111111111111
A01,PG01,SALESID0001,ITEM0005,201333,12.2,19.061111111111114
A01,PG01,SALESID0001,ITEM0005,201334,4.6,16.32777777777778
A01,PG01,SALESID0001,ITEM0005,201335,1.3333333333333333,10.781111111111112
A01,PG01,SALESID0001,ITEM0005,201336,2.3333333333333335,5.181111111111113
A01,PG01,SALESID0001,ITEM0005,201337,2.75,4.2744444444444465
A01,PG01,SALESID0001,ITEM0005,201338,2.5,3.92777777777778
A01,PG01,SALESID0001,ITEM0005,201340,1.0,3.1911111111111135
A01,PG01,SALESID0001,ITEM0005,201341,1.0,2.524444444444447
A01,PG01,SALESID0001,ITEM0005,201345,1.0,1.9111111111111136
A01,PG01,SALESID0001,ITEM0005,201402,1.0,1.7377777777777803
A01,PG01,SALESID0001,ITEM0005,201416,1.0,1.804444444444447
A01,PG01,SALESID0001,ITEM0006,201301,2.0,1.804444444444447
A01,PG01,SALESID0001,ITEM0006,201302,1.0,1.7377777777777803
A01,PG01,SALESID0001,ITEM0006,201303,1.75,1.654444444444447
A01,PG01,SALESID0001,ITEM0006,201304,2.4,1.7211111111111137
A01,PG01,SALESID0001,ITEM0006,201305,3.0,1.854444444444447
A01,PG01,SALESID0001,ITEM0006,201306,2.0,1.9211111111111137
A01,PG01,SALESID0001,ITEM0006,201307,2.3333333333333335,2.0211111111111135
A01,PG01,SALESID0001,ITEM0006,201308,2.3333333333333335,2.0377777777777806
A01,PG01,SALESID0001,ITEM0006,201309,1.75,2.0211111111111135
A01,PG01,SALESID0001,ITEM0006,201310,1.25,2.0877777777777804
A01,PG01,SALESID0001,ITEM0006,201311,2.0,2.0600000000000027
A01,PG01,SALESID0001,ITEM0006,201312,3.0,1.9666666666666694
A01,PG01,SALESID0001,ITEM0006,201313,2.0,1.8600000000000028
A01,PG01,SALESID0001,ITEM0006,201314,2.5,1.9488888888888916
A01,PG01,SALESID0001,ITEM0006,201315,1.25,1.8600000000000028
A01,PG01,SALESID0001,ITEM0006,201316,1.75,1.771111111111114
A01,PG01,SALESID0001,ITEM0006,201317,2.0,1.8377777777777806
A01,PG01,SALESID0001,ITEM0006,201318,1.3333333333333333,1.9377777777777807
A01,PG01,SALESID0001,ITEM0006,201320,1.0,2.191111111111114
A01,PG01,SALESID0001,ITEM0006,201321,1.4,2.2077777777777805
A01,PG01,SALESID0001,ITEM0006,201322,3.3333333333333335,2.1744444444444473
A01,PG01,SALESID0001,ITEM0006,201323,1.0,2.074444444444447
A01,PG01,SALESID0001,ITEM0006,201324,1.0,2.080000000000003
A01,PG01,SALESID0001,ITEM0006,201325,2.75,2.030000000000003
A01,PG01,SALESID0001,ITEM0006,201326,2.75,2.0077777777777808
A01,PG01,SALESID0001,ITEM0006,201327,5.8,1.9855555555555584
A01,PG01,SALESID0001,ITEM0006,201328,3.25,2.1188888888888915
A01,PG01,SALESID0001,ITEM0006,201329,1.5,2.172222222222225
A01,PG01,SALESID0001,ITEM0006,201330,1.0,2.203333333333336
A01,PG01,SALESID0001,ITEM0006,201332,1.3333333333333333,2.3100000000000027
A01,PG01,SALESID0001,ITEM0006,201333,1.0,2.3600000000000025
A01,PG01,SALESID0001,ITEM0006,201334,1.6666666666666667,2.4300000000000024
A01,PG01,SALESID0001,ITEM0106,201301,1.0,2.513333333333336
A01,PG01,SALESID0001,ITEM0106,201302,3.0,2.4333333333333362
A01,PG01,SALESID0001,ITEM0106,201303,2.2,2.603333333333336
A01,PG01,SALESID0001,ITEM0106,201304,3.8,2.703333333333336
A01,PG01,SALESID0001,ITEM0106,201305,2.6,2.7433333333333363
A01,PG01,SALESID0001,ITEM0106,201306,1.75,2.774444444444447
A01,PG01,SALESID0001,ITEM0106,201307,3.8,2.9411111111111135
A01,PG01,SALESID0001,ITEM0106,201308,4.0,3.256666666666669
A01,PG01,SALESID0001,ITEM0106,201309,4.6,3.896666666666669
A01,PG01,SALESID0001,ITEM0106,201310,5.8,4.430000000000003
A01,PG01,SALESID0001,ITEM0106,201311,3.0,4.53666666666667
A01,PG01,SALESID0001,ITEM0106,201312,1.6,4.470000000000002
A01,PG01,SALESID0001,ITEM0106,201313,1.8,5.05666666666667
A01,PG01,SALESID0001,ITEM0106,201314,3.5,6.233333333333337
A01,PG01,SALESID0001,ITEM0106,201315,6.4,7.300000000000003
A01,PG01,SALESID0001,ITEM0106,201316,10.6,7.286666666666671
A01,PG01,SALESID0001,ITEM0106,201317,11.0,7.513333333333337
A01,PG01,SALESID0001,ITEM0106,201318,3.8,9.20666666666667
A01,PG01,SALESID0001,ITEM0106,201319,2.8,12.260000000000002
A01,PG01,SALESID0001,ITEM0106,201320,11.4,16.40666666666667
A01,PG01,SALESID0001,ITEM0106,201321,19.4,18.16666666666667
A01,PG01,SALESID0001,ITEM0106,201322,19.8,18.240000000000006
A01,PG01,SALESID0001,ITEM0106,201323,3.8,18.026666666666674
A01,PG01,SALESID0001,ITEM0106,201324,8.0,17.97333333333334
A01,PG01,SALESID0001,ITEM0106,201325,31.2,18.240000000000006
A01,PG01,SALESID0001,ITEM0106,201326,48.8,18.906666666666673
A01,PG01,SALESID0001,ITEM0106,201327,63.8,19.34666666666667
A01,PG01,SALESID0001,ITEM0106,201328,28.2,19.17333333333334
A01,PG01,SALESID0001,ITEM0106,201329,4.6,18.306666666666672
A01,PG01,SALESID0001,ITEM0106,201330,3.2,17.200000000000003
A01,PG01,SALESID0001,ITEM0106,201331,9.8,17.213333333333335
A01,PG01,SALESID0001,ITEM0106,201332,15.0,16.94666666666667
A01,PG01,SALESID0001,ITEM0106,201333,13.8,15.200000000000005
A01,PG01,SALESID0001,ITEM0106,201334,9.4,12.293333333333335
A01,PG01,SALESID0001,ITEM0106,201335,8.8,8.533333333333337
A01,PG01,SALESID0001,ITEM0106,201336,6.4,6.853333333333337
A01,PG01,SALESID0001,ITEM0106,201337,3.2,6.773333333333338
A01,PG01,SALESID0001,ITEM0106,201338,4.0,6.760000000000004
A01,PG01,SALESID0001,ITEM0106,201339,4.0,6.306666666666671
A01,PG01,SALESID0001,ITEM0106,201340,5.0,5.506666666666671
A01,PG01,SALESID0001,ITEM0106,201341,5.2,7.666666666666671
A01,PG01,SALESID0001,ITEM0106,201342,7.4,8.30666666666667
A01,PG01,SALESID0001,ITEM0106,201343,3.0,7.808888888888892
A01,PG01,SALESID0001,ITEM0106,201344,3.4,7.515555555555559
A01,PG01,SALESID0001,ITEM0106,201345,3.0,7.468888888888892
A01,PG01,SALESID0001,ITEM0106,201346,3.0,7.442222222222225
A01,PG01,SALESID0001,ITEM0106,201347,3.0,7.575555555555558
A01,PG01,SALESID0001,ITEM0106,201348,46.2,7.692222222222225
A01,PG01,SALESID0001,ITEM0106,201349,19.0,7.785555555555558
A01,PG01,SALESID0001,ITEM0106,201350,1.3333333333333333,7.47888888888889
A01,PG01,SALESID0001,ITEM0106,201351,2.0,7.412222222222224
A01,PG01,SALESID0001,ITEM0106,201352,2.5,7.31888888888889
A01,PG01,SALESID0001,ITEM0106,201401,3.6,7.345555555555557
A01,PG01,SALESID0001,ITEM0106,201402,6.0,7.39888888888889
A01,PG01,SALESID0001,ITEM0106,201403,6.75,7.35888888888889
A01,PG01,SALESID0001,ITEM0106,201404,6.6,4.412222222222224
A01,PG01,SALESID0001,ITEM0106,201405,2.8,3.452222222222223
A01,PG01,SALESID0001,ITEM0106,201406,2.0,3.8166666666666673
A01,PG01,SALESID0001,ITEM0106,201407,2.0,4.216666666666667
A01,PG01,SALESID0001,ITEM0106,201408,3.4,4.45
A01,PG01,SALESID0001,ITEM0106,201409,3.8,4.510000000000001
A01,PG01,SALESID0001,ITEM0106,201410,2.4,4.363333333333333
A01,PG01,SALESID0001,ITEM0106,201411,2.0,4.096666666666667
A01,PG01,SALESID0001,ITEM0106,201412,4.6,3.74
A01,PG01,SALESID0001,ITEM0106,201413,6.8,3.6533333333333338
A01,PG01,SALESID0001,ITEM0106,201414,8.0,3.64
A01,PG01,SALESID0001,ITEM0106,201415,6.0,3.595555555555556
A01,PG01,SALESID0001,ITEM0106,201416,4.5,3.5522222222222224
A01,PG01,SALESID0001,ITEM0106,201417,3.8,3.565555555555556
A01,PG01,SALESID0001,ITEM0106,201418,2.75,3.522222222222223
A01,PG01,SALESID0001,ITEM0106,201419,1.25,3.4722222222222228
A01,PG01,SALESID0001,ITEM0106,201420,1.5,3.254444444444445
A01,PG01,SALESID0001,ITEM0106,201421,1.8,2.9233333333333342
A01,PG01,SALESID0001,ITEM0106,201422,1.3333333333333333,2.7233333333333345
A01,PG01,SALESID0001,ITEM0106,201423,2.75,2.5566666666666675
A01,PG01,SALESID0001,ITEM0106,201424,4.0,2.5344444444444454
A01,PG01,SALESID0001,ITEM0106,201425,1.75,2.481111111111112
A01,PG01,SALESID0001,ITEM0106,201426,1.25,2.4977777777777788
A01,PG01,SALESID0001,ITEM0106,201427,1.3333333333333333,2.601111111111112
A01,PG01,SALESID0001,ITEM0106,201428,1.8333333333333333,2.6788888888888898
A01,PG01,SALESID0001,ITEM0106,201429,5.0,2.932222222222223
A01,PG01,SALESID0001,ITEM0106,201430,3.5,3.0700000000000007
A01,PG01,SALESID0001,ITEM0106,201431,4.166666666666667,3.10888888888889
A01,PG01,SALESID0001,ITEM0106,201432,3.0,3.00888888888889
A01,PG01,SALESID0001,ITEM0106,201433,3.0,3.0788888888888897
A01,PG01,SALESID0001,ITEM0106,201434,2.8,3.3288888888888897
A01,PG01,SALESID0001,ITEM0106,201435,2.6666666666666665,3.617777777777778
A01,PG01,SALESID0001,ITEM0106,201436,5.6,3.7066666666666666
A01,PG01,SALESID0001,ITEM0106,201437,3.4,3.651111111111111
A01,PG01,SALESID0001,ITEM0106,201438,3.3333333333333335,3.601111111111111
A01,PG01,SALESID0001,ITEM0106,201439,2.5,3.4566666666666666
A01,PG01,SALESID0001,ITEM0106,201440,2.8,3.8122222222222226
A01,PG01,SALESID0001,ITEM0106,201441,5.0,5.078888888888889
A01,PG01,SALESID0001,ITEM0106,201442,5.666666666666667,6.092222222222222
A01,PG01,SALESID0001,ITEM0106,201443,3.1666666666666665,6.714444444444444
A01,PG01,SALESID0001,ITEM0106,201444,4.166666666666667,6.81888888888889
A01,PG01,SALESID0001,ITEM0106,201445,2.75,7.138888888888889
A01,PG01,SALESID0001,ITEM0106,201446,2.0,7.616666666666668
A01,PG01,SALESID0001,ITEM0106,201447,8.333333333333334,7.816666666666667
A01,PG01,SALESID0001,ITEM0106,201448,22.0,7.785555555555557
A01,PG01,SALESID0001,ITEM0106,201449,18.0,7.552222222222223
A01,PG01,SALESID0001,ITEM0106,201450,12.0,7.541111111111111
A01,PG01,SALESID0001,ITEM0106,201451,7.166666666666667,7.85
A01,PG01,SALESID0001,ITEM0106,201452,8.2,7.852222222222222
A01,PG01,SALESID0001,ITEM0106,201501,10.5,7.855555555555555
A01,PG01,SALESID0001,ITEM0106,201502,5.5,7.922222222222222
A01,PG01,SALESID0001,ITEM0106,201503,2.3333333333333335,7.54
A01,PG01,SALESID0001,ITEM0106,201504,1.5,6.406666666666666
A01,PG01,SALESID0001,ITEM0106,201505,5.5,5.54
A01,PG01,SALESID0001,ITEM0106,201506,7.8,4.873333333333333
A01,PG01,SALESID0001,ITEM0106,201507,4.2,4.795555555555555
A01,PG01,SALESID0001,ITEM0107,201301,2.8,4.728888888888888
A01,PG01,SALESID0001,ITEM0107,201302,3.0,4.308888888888888
A01,PG01,SALESID0001,ITEM0107,201303,2.6,4.315555555555554
A01,PG01,SALESID0001,ITEM0107,201304,5.0,4.659999999999999
A01,PG01,SALESID0001,ITEM0107,201305,5.0,4.7333333333333325
A01,PG01,SALESID0001,ITEM0107,201306,2.0,4.659999999999999
A01,PG01,SALESID0001,ITEM0107,201307,6.0,4.526666666666666
A01,PG01,SALESID0001,ITEM0107,201308,7.2,5.2333333333333325
A01,PG01,SALESID0001,ITEM0107,201309,4.2,6.433333333333333
A01,PG01,SALESID0001,ITEM0107,201310,5.6,8.379999999999999
A01,PG01,SALESID0001,ITEM0107,201311,7.5,9.18
A01,PG01,SALESID0001,ITEM0107,201312,2.6,9.913333333333332
A01,PG01,SALESID0001,ITEM0107,201313,4.4,11.753333333333332
A01,PG01,SALESID0001,ITEM0107,201314,5.8,15.766666666666667
A01,PG01,SALESID0001,ITEM0107,201315,14.8,20.19333333333333
A01,PG01,SALESID0001,ITEM0107,201316,20.8,20.993333333333332
A01,PG01,SALESID0001,ITEM0107,201317,32.2,22.39333333333333
A01,PG01,SALESID0001,ITEM0107,201318,14.6,34.92666666666666
A01,PG01,SALESID0001,ITEM0107,201319,16.0,58.0
A01,PG01,SALESID0001,ITEM0107,201320,32.6,94.09333333333333
A01,PG01,SALESID0001,ITEM0107,201321,62.2,112.57333333333332
A01,PG01,SALESID0001,ITEM0107,201322,72.4,115.02666666666666
A01,PG01,SALESID0001,ITEM0107,201323,19.2,115.61333333333332
A01,PG01,SALESID0001,ITEM0107,201324,25.2,117.35999999999999
A01,PG01,SALESID0001,ITEM0107,201325,193.6,119.31999999999998
A01,PG01,SALESID0001,ITEM0107,201326,353.6,121.78666666666665
A01,PG01,SALESID0001,ITEM0107,201327,544.0,122.45333333333332
A01,PG01,SALESID0001,ITEM0107,201328,281.6,123.70666666666666
A01,PG01,SALESID0001,ITEM0107,201329,42.6,122.98666666666666
A01,PG01,SALESID0001,ITEM0107,201330,23.6,120.10666666666665
A01,PG01,SALESID0001,ITEM0107,201331,47.0,120.02666666666666
A01,PG01,SALESID0001,ITEM0107,201332,61.6,119.99999999999999
A01,PG01,SALESID0001,ITEM0107,201333,51.6,108.73333333333332
A01,PG01,SALESID0001,ITEM0107,201334,26.0,87.05333333333331
A01,PG01,SALESID0001,ITEM0107,201335,51.4,53.26666666666665
A01,PG01,SALESID0001,ITEM0107,201336,51.4,35.21333333333332
A01,PG01,SALESID0001,ITEM0107,201337,29.2,33.226666666666645
A01,PG01,SALESID0001,ITEM0107,201338,18.0,32.42666666666664
